year,participants,countries,sports
1920,78,Australia;Italy;Czech Republic;USA;South Africa;Denmark;Finland;France;Sweden;Netherlands;UK;Belgium;New Zealand;Norway;,Sailing;Figure Skating;Tennis;Diving;Art Competitions;Swimming;
1906,6,Greece;France;,Tennis;
1924,156,Italy;Czech Republic;USA;Luxembourg;France;Ireland;Norway;Australia;Belgium;Spain;Netherlands;Denmark;Poland;Sweden;Switzerland;New Zealand;Russia;India;Austria;UK;Greece;Hungary;,Sailing;Fencing;Tennis;Diving;Art Competitions;Swimming;
1908,44,Sweden;Germany;UK;,Archery;Tennis;Figure Skating;Sailing;Motorboating;
1928,312,Canada;Italy;Czech Republic;USA;Lithuania;Luxembourg;France;Ireland;Australia;Germany;Belgium;Netherlands;Denmark;Poland;Finland;Sweden;Latvia;Hungary;Switzerland;New Zealand;Romania;South Africa;Austria;UK;Japan;,Sailing;Fencing;Gymnastics;Diving;Athletics;Art Competitions;Swimming;
1904,6,USA;,Archery;
1900,23,Italy;Czech Republic;USA;France;UK;Switzerland;,Croquet;Tennis;Golf;Equestrianism;Sailing;
1984,1567,Canada;Argentina;Cameroon;Ghana;Boliva;Guatemala;Germany;Spain;Liberia;Netherlands;Tanzania;Gabon;Antigua;New Zealand;Jamaica;India;Kenya;South Korea;Turkey;Ivory Coast;San Marino;France;Rwanda;Peru;Republic of Congo;Norway;China;Dominican Republic;Indonesia;Finland;Mauritius;Sweden;Romania;Portugal;Liechtenstein;Malaysia;Austria;Mozambique;UK;Japan;Brazil;Panama;Costa Rica;Luxembourg;Bahamas;Ireland;Nigeria;Ecuador;Australia;Bhutan;El Salvador;Chile;Puerto Rico;Belgium;Thailand;Haiti;Sierra Leone;Gambia;Philippines;Morocco;Switzerland;Grenada;Seychelles;Uruguay;Lebanon;Egypt;Bermuda;Colombia;Taiwan;Fiji;Barbados;Trinidad;Italy;Curacao;USA;Malta;Democratic Republic of the Congo;Cayman Islands;Venezuela;Israel;Iceland;Senegal;Papua New Guinea;Zimbabwe;Jordan;Denmark;"Virgin Islands;Uganda;Guyana;Honduras;Mexico;Tunisia;Serbia;Greece;,Archery;Basketball;Cycling;Rhythmic Gymnastics;Canoeing;Synchronized Swimming;Fencing;Rowing;Sailing;Volleyball;Gymnastics;Hockey;Handball;Diving;Athletics;Shooting;Equestrianism;Swimming;
1968,783,Canada;Brazil;Italy;Curacao;USA;Costa Rica;Mongolia;France;Peru;Nigeria;Norway;Argentina;Ecuador;Czech Republic;Ghana;Israel;Australia;Cuba;El Salvador;Iceland;Japan;Guatemala;Germany;Chile;Puerto Rico;Belgium;Philippines;Taiwan;Spain;Ireland;Netherlands;Colombia;Denmark;Poland;Finland;Sweden;Vietnam;Luxembourg;Kenya;Switzerland;New Zealand;Russia;Bulgaria;Jamaica;Romania;Portugal;Mexico;Uruguay;Serbia;Austria;UK;Hungary;South Korea;,Canoeing;Fencing;Volleyball;Gymnastics;Diving;Athletics;Shooting;Equestrianism;Swimming;
1980,1123,Brazil;Madagascar;Italy;Czech Republic;India;Mali;Costa Rica;Malta;France;Ethiopia;Peru;Laos;Republic of Congo;Nigeria;Cameroon;Ecuador;Benin;Australia;Cuba;Senegal;Zimbabwe;Germany;Belgium;Dominican Republic;Tanzania;Spain;Ireland;Netherlands;Libya;Denmark;Poland;Finland;North Korea;Sweden;Vietnam;Mongolia;Guyana;Switzerland;Syria;Russia;Bulgaria;Jamaica;Romania;Seychelles;Angola;Portugal;Mexico;Cyprus;Serbia;Sierra Leone;Austria;Mozambique;UK;Greece;Hungary;Nicaragua;,Archery;Basketball;Sailing;Canoeing;Fencing;Rowing;Volleyball;Gymnastics;Hockey;Handball;Diving;Athletics;Shooting;Equestrianism;Swimming;
1964,680,Canada;Brazil;Italy;Czech Republic;USA;Serbia;Panama;Mongolia;France;Luxembourg;Peru;Nigeria;Norway;Argentina;Ghana;Israel;Australia;Iran;Cuba;Iceland;Venezuela;Zimbabwe;Germany;Puerto Rico;Belgium;Thailand;Philippines;Spain;Ireland;Netherlands;Uganda;Denmark;Poland;Finland;Sweden;South Korea;Japan;Switzerland;New Zealand;Russia;Bulgaria;Jamaica;Romania;Portugal;Mexico;India;Malaysia;Austria;China;UK;Hungary;Taiwan;Zambia;,Sailing;Canoeing;Fencing;Volleyball;Gymnastics;Diving;Athletics;Equestrianism;Swimming;
1960,613,Canada;Turkey;Italy;Czech Republic;USA;Panama;Luxembourg;France;Ireland;Argentina;Venezuela;Israel;Australia;Indonesia;Cuba;Norway;Japan;Zimbabwe;Germany;Chile;Puerto Rico;Belgium;Poland;Spain;Netherlands;Denmark;Philippines;Finland;Sweden;South Korea;Guyana;Switzerland;New Zealand;Russia;Brazil;Bulgaria;Romania;Portugal;Mexico;South Africa;Serbia;Austria;UK;Iceland;Hungary;Taiwan;,Sailing;Canoeing;Fencing;Gymnastics;Diving;Athletics;Equestrianism;Swimming;
