year,sport,participants
1932,Athletics,54
1932,Fencing,17
1932,Art Competitions,75
1932,Swimming,44
1932,Diving,11
1996,Sailing,100
1996,Football,124
1996,Badminton,96
1996,Athletics,755
1996,Handball,118
1996,Rhythmic Gymnastics,90
1996,Rowing,205
1996,Archery,64
1996,Swimming,345
1996,Basketball,143
1996,Synchronized Swimming,72
1996,Table Tennis,81
1996,Hockey,128
1996,Canoeing,121
1996,Diving,56
1996,Cycling,111
1996,Equestrianism,66
1996,Judo,151
1996,Gymnastics,105
1996,Softball,120
1996,Volleyball,134
1996,Fencing,88
1996,Shooting,125
1996,Tennis,83
1996,Beach Volleyball,36
2000,Sailing,95
2000,Weightlifting,85
2000,Synchronized Swimming,101
2000,Table Tennis,85
2000,Swimming,396
2000,Athletics,880
2000,Shooting,146
2000,Basketball,142
2000,Taekwondo,48
2000,Hockey,159
2000,Volleyball,138
2000,Softball,120
2000,Rhythmic Gymnastics,84
2000,Football,124
2000,Water Polo,78
2000,Diving,77
2000,Rowing,184
2000,Handball,146
2000,Cycling,121
2000,Modern Pentathlon,24
2000,Archery,64
2000,Judo,161
2000,Gymnastics,97
2000,Fencing,83
2000,Equestrianism,67
2000,Badminton,85
2000,Triathlon,48
2000,Tennis,89
2000,Canoeing,81
2000,Beach Volleyball,48
2000,Trampolining,12
2008,Handball,171
2008,Athletics,974
2008,Basketball,143
2008,Sailing,139
2008,Softball,120
2008,Archery,64
2008,Taekwondo,63
2008,Synchronized Swimming,102
2008,Shooting,145
2008,Volleyball,140
2008,Table Tennis,85
2008,Weightlifting,87
2008,Diving,73
2008,Gymnastics,98
2008,Judo,156
2008,Triathlon,55
2008,Swimming,453
2008,Hockey,191
2008,Badminton,86
2008,Rowing,191
2008,Wrestling,66
2008,Equestrianism,73
2008,Rhythmic Gymnastics,95
2008,Football,195
2008,Tennis,83
2008,Beach Volleyball,48
2008,Cycling,147
2008,Fencing,116
2008,Water Polo,103
2008,Modern Pentathlon,36
2008,Canoeing,95
2008,Trampolining,16
2016,Weightlifting,103
2016,Taekwondo,64
2016,Handball,176
2016,Equestrianism,75
2016,Cycling,192
2016,Diving,68
2016,Shooting,151
2016,Synchronized Swimming,102
2016,Volleyball,142
2016,Athletics,1084
2016,Rugby Sevens,148
2016,Football,203
2016,Water Polo,104
2016,Rowing,215
2016,Triathlon,55
2016,Basketball,140
2016,Wrestling,112
2016,Trampolining,16
2016,Swimming,438
2016,Boxing,36
2016,Badminton,86
2016,Modern Pentathlon,36
2016,Judo,152
2016,Sailing,163
2016,Beach Volleyball,48
2016,Rhythmic Gymnastics,96
2016,Archery,64
2016,Hockey,194
2016,Canoeing,112
2016,Fencing,124
2016,Table Tennis,86
2016,Gymnastics,98
2016,Golf,60
2016,Tennis,91
1988,Hockey,124
1988,Swimming,252
1988,Diving,40
1988,Athletics,555
1988,Sailing,44
1988,Shooting,111
1988,Archery,62
1988,Table Tennis,48
1988,Rhythmic Gymnastics,39
1988,Gymnastics,90
1988,Rowing,194
1988,Synchronized Swimming,46
1988,Volleyball,95
1988,Handball,111
1988,Canoeing,64
1988,Basketball,93
1988,Cycling,64
1988,Equestrianism,54
1988,Tennis,48
1988,Fencing,69
2004,Athletics,916
2004,Cycling,130
2004,Taekwondo,60
2004,Synchronized Swimming,101
2004,Shooting,137
2004,Weightlifting,85
2004,Rhythmic Gymnastics,84
2004,Canoeing,94
2004,Swimming,393
2004,Basketball,143
2004,Volleyball,140
2004,Hockey,160
2004,Gymnastics,98
2004,Football,166
2004,Judo,157
2004,Rowing,193
2004,Handball,149
2004,Equestrianism,66
2004,Modern Pentathlon,32
2004,Triathlon,50
2004,Softball,118
2004,Water Polo,101
2004,Sailing,139
2004,Beach Volleyball,48
2004,Badminton,83
2004,Tennis,83
2004,Fencing,93
2004,Table Tennis,86
2004,Archery,64
2004,Diving,65
2004,Wrestling,50
2004,Trampolining,16
2012,Athletics,991
2012,Rowing,196
2012,Water Polo,102
