year,sport,percent_women
1932,Athletics,0.14025974025974025
1932,Fencing,0.16346153846153846
1932,Art Competitions,0.12776831345826234
1932,Swimming,0.34375
1932,Diving,0.39285714285714285
1932,Cycling,0
1932,Boxing,0
1932,Sailing,0
1932,Rowing,0
1932,Hockey,0
1932,Gymnastics,0
1932,Water Polo,0
1932,Shooting,0
1932,Modern Pentathlon,0
1932,Wrestling,0
1932,Equestrianism,0
1932,Weightlifting,0
1932,Alpinism,0
1996,Sailing,0.2183406113537118
1996,Football,0.31958762886597936
1996,Badminton,0.5
1996,Athletics,0.3670393777345649
1996,Handball,0.3933333333333333
1996,Rhythmic Gymnastics,1
1996,Rowing,0.3371710526315789
1996,Archery,0.5
1996,Swimming,0.452755905511811
1996,Basketball,0.5035211267605634
1996,Synchronized Swimming,1
1996,Table Tennis,0.4879518072289157
1996,Hockey,0.4
1996,Canoeing,0.2682926829268293
1996,Diving,0.45901639344262296
1996,Cycling,0.23270440251572327
1996,Equestrianism,0.3013698630136986
1996,Judo,0.39018087855297157
1996,Gymnastics,0.4861111111111111
1996,Softball,1
1996,Volleyball,0.48727272727272725
1996,Fencing,0.39285714285714285
1996,Shooting,0.29832935560859186
1996,Tennis,0.4715909090909091
1996,Beach Volleyball,0.42857142857142855
1996,Wrestling,0
1996,Water Polo,0
1996,Boxing,0
1996,Weightlifting,0
1996,Baseball,0
1996,Modern Pentathlon,0
2000,Sailing,0.236318407960199
2000,Weightlifting,0.34552845528455284
2000,Synchronized Swimming,1
2000,Table Tennis,0.49707602339181284
2000,Swimming,0.41509433962264153
2000,Athletics,0.4117922321010763
2000,Shooting,0.35784313725490197
2000,Basketball,0.4965034965034965
2000,Taekwondo,0.47058823529411764
2000,Hockey,0.4542857142857143
2000,Volleyball,0.4946236559139785
2000,Softball,1
2000,Rhythmic Gymnastics,1
2000,Football,0.3171355498721228
2000,Water Polo,0.33766233766233766
2000,Diving,0.49044585987261147
2000,Rowing,0.33638025594149906
2000,Handball,0.4520123839009288
